List;Title;Title screen;Hex file;Data file;Save file;Version;Developer;Info;Likes
0;;flashcart-loader.png;;;;;;;
1;;team-arg\.logo.png;;;;;;;
2;;ppot\.logo.png;;;;;;;
3;;obono\.logo.png;;;;;;;
1;;team-arg\Arduventure.png;team-arg\Arduventure.hex;;;;;;
1;;team-arg\Begemmed.png;team-arg\Begemmed.hex;;;;;;
1;;team-arg\BlobAttack.png;team-arg\BlobAttack.hex;;;;;;
1;;team-arg\DiceOfFate.png;team-arg\DiceOfFate.hex;;;;;;
1;;team-arg\ECOMD.png;team-arg\ECOMD.hex;;;;;;
1;;team-arg\FantasyRampage.png;team-arg\FantasyRampage.hex;;;;;;
1;;team-arg\MysticBalloon.png;team-arg\MysticBalloon.hex;;;;;;
1;;team-arg\ReverseMermaidHockey.png;team-arg\ReverseMermaidHockey.hex;;;;;;
1;;team-arg\ShadowRunner.png;team-arg\ShadowRunner.hex;;;;;;
1;;team-arg\Sirene.png;team-arg\Sirene.hex;;;;;;
1;;team-arg\TrollyFish.png;team-arg\TrollyFish.hex;;;;;;
1;;team-arg\VirusLQP-79.png;team-arg\VirusLQP-79.hex;;;;;;
2;;ppot\1nvader.png;ppot\1nvader.hex;;;;;;
2;;ppot\Cribbage.V101.png;ppot\Cribbage.V101.hex;;;;;;
2;;ppot\Dominoes.png;ppot\Dominoes.hex;;;;;;
2;;ppot\FirePanic.png;ppot\FirePanic.hex;;;;;;
2;;ppot\JunoFirst.V1.01.png;ppot\JunoFirst.V1.01.hex;;;;;;
2;;ppot\Kong.V1.0.3.png;ppot\Kong.V1.0.3.hex;;;;;;
2;;ppot\KongII.V1.0.png;ppot\KongII.V1.0.hex;;;;;;
2;;ppot\Lion.png;ppot\Lion.hex;;;;;;
2;;ppot\OilPanic.png;ppot\OilPanic.hex;;;;;;
2;;ppot\Picross.png;ppot\Picross.hex;;;;;;
2;;ppot\RoadTrip.png;ppot\RoadTrip.hex;;;;;;
2;;ppot\SpaceCab.png;ppot\SpaceCab.hex;;;;;;
2;;ppot\TurtleBridge.V1.4.png;ppot\TurtleBridge.V1.4.hex;;;;;;
2;;ppot\Whist.100.png;ppot\Whist.100.hex;;;;;;
3;;obono\ardubullets_v0.11.png;obono\ardubullets_v0.11.hex;;;;;;
3;;obono\chiemagari_v0.11.png;obono\chiemagari_v0.11.hex;;;;;;
3;;obono\chribocchi_v0.04.png;obono\chribocchi_v0.04.hex;;;;;;
3;;obono\evasion_v0.10.png;obono\evasion_v0.10.hex;;;;;;
3;;obono\hollow_v0.32.png;obono\hollow_v0.32.hex;;;;;;
3;;obono\hopper_v0.22.png;obono\hopper_v0.22.hex;;;;;;
3;;obono\knightmove_v0.11.png;obono\knightmove_v0.11.hex;;;;;;
3;;obono\lasers_v0.12.png;obono\lasers_v0.12.hex;;;;;;
3;;obono\psicolo_v0.11.png;obono\psicolo_v0.11.hex;;;;;;
3;;obono\quarto_v0.10.png;obono\quarto_v0.10.hex;;;;;;
3;;obono\reversi_v0.11.png;obono\reversi_v0.11.hex;;;;;;
3;;obono\samegame_v0.10.png;obono\samegame_v0.10.hex;;;;;;
3;;obono\stairssweep_v0.10.png;obono\stairssweep_v0.10.hex;;;;;;
